N,beta_E,J,n_seeds,objective_mean,objective_std,objective_stderr,ci_lower_95,ci_upper_95
2000.0,0.0,0.48,5.0,14.753709551512788,3.4374008856825617,1.5372524092608382,11.740694829361544,17.766724273664032
2000.0,0.0,0.49,5.0,12.630850053368837,2.5032737779788317,1.1194980667706766,10.43663384249831,14.825066264239364
2000.0,0.0,0.5,5.0,13.738004945803846,4.242277653651027,1.897204242598401,10.01948463031098,17.45652526129671
2000.0,0.0,0.51,5.0,14.847485021687723,4.0786887000969925,1.8240450384954257,11.272356746236689,18.422613297138756
2000.0,0.0,0.52,5.0,14.960699373958875,3.7080318216006636,1.6582822431662914,11.710466177352943,18.210932570564804
2000.0,0.2,0.48,5.0,14.362998405749702,3.5999357897913664,1.6099402281215778,11.207515558631409,17.518481252867993
2000.0,0.2,0.49,5.0,14.607373170530499,3.7268538891686536,1.6666997276781153,11.340641704281392,17.874104636779606
2000.0,0.2,0.5,5.0,14.076969121097807,3.891044870804473,1.7401281669241375,10.666317913926498,17.487620328269116
2000.0,0.2,0.51,5.0,14.144905667517799,3.8230723042453034,1.7097299110378512,10.79383504188361,17.495976293151987
2000.0,0.2,0.52,5.0,13.853636823527847,3.8647421848563486,1.7283652481699707,10.466040937114704,17.241232709940988
5000.0,0.0,0.48,4.0,18.351330713872095,5.361875334388045,2.6809376671940224,13.09669288617181,23.60596854157238
5000.0,0.0,0.49,4.0,18.324580821545126,5.146627755272607,2.5733138776363034,13.280885621377973,23.36827602171228
5000.0,0.0,0.5,4.0,18.2245438264753,5.094356966278808,2.547178483139404,13.232073999522068,23.217013653428534
5000.0,0.0,0.51,4.0,18.005416071685968,4.880517194922156,2.440258597461078,13.222509220662255,22.788322922709682
5000.0,0.0,0.52,4.0,17.087026993532405,5.392886243100423,2.6964431215502116,11.80199847529399,22.372055511770817
5000.0,0.0,0.53,4.0,17.170462302348653,5.613002728781999,2.8065013643909995,11.669719628142294,22.67120497655501
5000.0,0.2,0.48,4.0,16.58494345221076,3.0945397939048025,1.5472698969524012,13.552294454184052,19.617592450237463
5000.0,0.2,0.49,4.0,17.470910939977173,5.158444248530765,2.5792221242653826,12.415635576417024,22.526186303537322
5000.0,0.2,0.5,4.0,17.557850952675707,5.100796749862136,2.550398374931068,12.559070137810814,22.5566317675406
5000.0,0.2,0.51,4.0,17.368498523997896,4.814588873449678,2.407294436724839,12.650201428017212,22.08679561997858
5000.0,0.2,0.52,4.0,17.09612366585613,4.903767963678596,2.451883981839298,12.290431061451105,21.901816270261154
5000.0,0.2,0.53,4.0,17.310860736312627,4.996356224353296,2.498178112176648,12.414431636446396,22.20728983617886
