N,beta_E,n_seeds,J_star_mean,J_star_std,Plateau_Min_mean,Plateau_Min_std,Delta_star_mean,Delta_star_std
2000,0.0,5,0.512,0.008366600265340763,0.484,0.008944271909999166,0.14666666666666678,0.013944333775567936
2000,0.2,5,0.49000000000000005,6.206335383118183e-17,0.48,0.0,0.18333333333333338,1.0343892305196969e-16
5000,0.0,4,0.4925,0.00957427107756339,0.48,0.0,0.1791666666666668,0.015957118462605648
5000,0.2,4,0.4925,0.00957427107756339,0.4825,0.0050000000000000044,0.1791666666666668,0.015957118462605648
8000,0.0,3,0.47333333333333333,0.023094010767585018,0.4666666666666666,0.011547005383792493,0.21111111111111125,0.03849001794597502
8000,0.2,3,0.48,0.01999999999999999,0.46,0.0,0.20000000000000015,0.03333333333333331
10000,0.0,3,0.4666666666666666,0.011547005383792493,0.4666666666666666,0.011547005383792493,0.2222222222222224,0.019245008972987487
10000,0.2,3,0.46,0.0,0.46,0.0,0.23333333333333342,0.0
12000,0.0,3,0.46,0.0,0.46,0.0,0.23333333333333342,0.0
12000,0.2,3,0.48,0.0,0.46,0.0,0.20000000000000015,0.0
